reading_id,device_id,timestamp,energy_kwh,region,customer_segment,cost_in_inr
R00079,D050,2025-01-04 06:00:00,0.83,West,Residential,6.64
R00080,D047,2025-01-04 07:00:00,2.11,North,Residential,16.88
R00081,D011,2025-01-04 08:00:00,3.74,West,Residential,29.92
R00082,D046,2025-01-04 09:00:00,1.18,East,Commercial,9.44
R00083,D004,2025-01-04 10:00:00,4.87,West,Commercial,38.96
R00084,D022,2025-01-04 11:00:00,0.73,East,Commercial,5.84
R00085,D037,2025-01-04 12:00:00,0.6,South,Residential,4.8
R00086,D015,2025-01-04 13:00:00,3.33,South,Residential,26.64
R00087,D025,2025-01-04 14:00:00,1.38,East,Residential,11.04
R00088,D039,2025-01-04 15:00:00,1.64,North,Commercial,13.12
R00089,D018,2025-01-04 16:00:00,1.32,West,Commercial,10.56
R00090,D041,2025-01-04 17:00:00,2.3,West,Commercial,18.4
R00091,D028,2025-01-04 18:00:00,4.48,West,Commercial,35.84
R00092,D007,2025-01-04 19:00:00,2.86,East,Residential,22.88
R00093,D008,2025-01-04 20:00:00,2.2,East,Commercial,17.6
R00094,D040,2025-01-04 21:00:00,0.55,North,Commercial,4.4
R00095,D024,2025-01-04 22:00:00,3.16,North,Commercial,25.28
R00096,D003,2025-01-04 23:00:00,4.93,East,Residential,39.44
R00097,D025,2025-01-05 00:00:00,3.63,East,Commercial,29.04
R00098,D038,2025-01-05 01:00:00,4.65,North,Residential,37.2
R00099,D034,2025-01-05 02:00:00,1.59,West,Residential,12.72
R00100,D006,2025-01-05 03:00:00,3.2,West,Residential,25.6
R00101,D036,2025-01-05 04:00:00,2.61,North,Residential,20.88
R00102,D020,2025-01-05 05:00:00,3.58,South,Residential,28.64
R00103,D024,2025-01-05 06:00:00,0.18,West,Commercial,1.44
R00104,D015,2025-01-05 07:00:00,1.95,East,Residential,15.6
R00105,D016,2025-01-05 08:00:00,0.69,West,Commercial,5.52
R00106,D044,2025-01-05 09:00:00,3.82,East,Commercial,30.56
R00107,D040,2025-01-05 10:00:00,1.98,East,Commercial,15.84
R00108,D028,2025-01-05 11:00:00,3.22,North,Commercial,25.76
R00109,D030,2025-01-05 12:00:00,4.49,South,Commercial,35.92
R00110,D027,2025-01-05 13:00:00,3.75,South,Residential,30.0
R00111,D033,2025-01-05 14:00:00,4.81,South,Residential,38.48
R00112,D013,2025-01-05 15:00:00,2.21,West,Residential,17.68
R00113,D048,2025-01-05 16:00:00,4.81,East,Commercial,38.48
R00114,D007,2025-01-05 17:00:00,0.88,North,Commercial,7.04
R00115,D020,2025-01-05 18:00:00,1.34,East,Commercial,10.72
R00116,D036,2025-01-05 19:00:00,0.18,South,Residential,1.44
R00117,D036,2025-01-05 20:00:00,4.15,West,Commercial,33.2
R00118,D048,2025-01-05 21:00:00,3.43,North,Residential,27.44
R00119,D036,2025-01-05 22:00:00,1.12,South,Commercial,8.96
R00120,D027,2025-01-05 23:00:00,1.91,South,Residential,15.28
R00121,D020,2025-01-06 00:00:00,0.51,West,Commercial,4.08
R00122,D039,2025-01-06 01:00:00,2.54,North,Commercial,20.32
R00123,D044,2025-01-06 02:00:00,0.29,South,Residential,2.32
R00124,D012,2025-01-06 03:00:00,2.26,East,Residential,18.08
R00125,D015,2025-01-06 04:00:00,2.78,South,Residential,22.24
R00126,D042,2025-01-06 05:00:00,0.97,West,Residential,7.76
R00127,D020,2025-01-06 06:00:00,1.44,South,Residential,11.52
R00128,D024,2025-01-06 07:00:00,2.58,North,Commercial,20.64
R00129,D005,2025-01-06 08:00:00,4.11,North,Commercial,32.88
R00130,D016,2025-01-06 09:00:00,0.78,East,Commercial,6.24
R00131,D039,2025-01-06 10:00:00,4.85,East,Commercial,38.8
R00132,D015,2025-01-06 11:00:00,2.17,East,Commercial,17.36
R00133,D049,2025-01-06 12:00:00,1.43,South,Residential,11.44
R00134,D009,2025-01-06 13:00:00,4.79,West,Residential,38.32
R00135,D035,2025-01-06 14:00:00,0.11,West,Commercial,0.88
R00136,D040,2025-01-06 15:00:00,4.85,North,Commercial,38.8
R00137,D028,2025-01-06 16:00:00,3.35,North,Residential,26.8
R00138,D031,2025-01-06 17:00:00,4.6,West,Commercial,36.8
R00139,D018,2025-01-06 18:00:00,1.14,North,Commercial,9.12
R00140,D049,2025-01-06 19:00:00,3.19,South,Commercial,25.52
R00141,D042,2025-01-06 20:00:00,2.82,South,Commercial,22.56
R00142,D031,2025-01-06 21:00:00,2.49,East,Commercial,19.92
R00143,D035,2025-01-06 22:00:00,0.85,North,Commercial,6.8
R00144,D045,2025-01-06 23:00:00,0.32,North,Residential,2.56
R00145,D027,2025-01-07 00:00:00,4.05,East,Commercial,32.4
R00146,D009,2025-01-07 01:00:00,3.5,East,Residential,28.0
R00147,D039,2025-01-07 02:00:00,2.97,West,Residential,23.76
R00148,D048,2025-01-07 03:00:00,4.47,East,Residential,35.76
R00149,D022,2025-01-07 04:00:00,2.44,East,Commercial,19.52
R00150,D050,2025-01-07 05:00:00,2.94,East,Residential,23.52
R00151,D036,2025-01-07 06:00:00,3.86,South,Residential,30.88
R00152,D036,2025-01-07 07:00:00,4.02,West,Commercial,32.16
R00153,D004,2025-01-07 08:00:00,2.16,North,Residential,17.28
R00154,D022,2025-01-07 09:00:00,2.2,West,Residential,17.6
R00155,D013,2025-01-07 10:00:00,0.84,East,Residential,6.72
R00156,D009,2025-01-07 11:00:00,4.45,North,Commercial,35.6
R00157,D030,2025-01-07 12:00:00,1.07,North,Commercial,8.56
R00158,D015,2025-01-07 13:00:00,3.43,West,Commercial,27.44
R00159,D001,2025-01-07 14:00:00,0.82,South,Residential,6.56
R00160,D044,2025-01-07 15:00:00,1.41,North,Residential,11.28
R00161,D040,2025-01-07 16:00:00,3.04,North,Residential,24.32
R00162,D028,2025-01-07 17:00:00,3.96,North,Commercial,31.68
R00163,D047,2025-01-07 18:00:00,0.41,North,Commercial,3.28
R00164,D038,2025-01-07 19:00:00,2.55,North,Commercial,20.4
R00165,D029,2025-01-07 20:00:00,1.44,South,Residential,11.52
R00166,D043,2025-01-07 21:00:00,1.71,East,Residential,13.68
R00167,D016,2025-01-07 22:00:00,2.33,East,Commercial,18.64
R00168,D002,2025-01-07 23:00:00,1.51,West,Residential,12.08
R00169,D033,2025-01-08 00:00:00,0.51,North,Residential,4.08
R00170,D001,2025-01-08 01:00:00,2.28,South,Commercial,18.24
R00171,D010,2025-01-08 02:00:00,1.61,South,Commercial,12.88
R00172,D013,2025-01-08 03:00:00,1.34,West,Residential,10.72
R00173,D028,2025-01-08 04:00:00,3.58,South,Residential,28.64
R00174,D005,2025-01-08 05:00:00,3.25,North,Residential,26.0
R00175,D014,2025-01-08 06:00:00,3.8,West,Residential,30.4
R00176,D022,2025-01-08 07:00:00,1.02,East,Residential,8.16
R00177,D031,2025-01-08 08:00:00,4.4,West,Commercial,35.2
R00178,D001,2025-01-08 09:00:00,2.14,West,Commercial,17.12
R00179,D005,2025-01-08 10:00:00,2.35,South,Residential,18.8
R00180,D026,2025-01-08 11:00:00,3.01,West,Commercial,24.08
R00181,D048,2025-01-08 12:00:00,0.68,West,Residential,5.44
R00182,D010,2025-01-08 13:00:00,2.62,North,Commercial,20.96
R00183,D023,2025-01-08 14:00:00,3.75,West,Residential,30.0
R00184,D019,2025-01-08 15:00:00,4.33,East,Residential,34.64
R00185,D050,2025-01-08 16:00:00,4.29,West,Residential,34.32
R00186,D001,2025-01-08 17:00:00,0.8,South,Commercial,6.4
R00187,D030,2025-01-08 18:00:00,1.52,West,Residential,12.16
R00188,D031,2025-01-08 19:00:00,4.5,East,Commercial,36.0
R00189,D049,2025-01-08 20:00:00,1.4,South,Commercial,11.2
R00190,D050,2025-01-08 21:00:00,0.75,North,Commercial,6.0
R00191,D018,2025-01-08 22:00:00,0.76,North,Commercial,6.08
R00192,D028,2025-01-08 23:00:00,4.72,West,Residential,37.76
R00193,D041,2025-01-09 00:00:00,4.62,West,Residential,36.96
R00194,D050,2025-01-09 01:00:00,4.15,South,Residential,33.2
R00195,D015,2025-01-09 02:00:00,2.44,South,Residential,19.52
R00196,D019,2025-01-09 03:00:00,4.29,South,Residential,34.32
R00197,D014,2025-01-09 04:00:00,1.44,East,Commercial,11.52
R00198,D004,2025-01-09 05:00:00,4.26,West,Commercial,34.08
R00199,D012,2025-01-09 06:00:00,1.32,South,Commercial,10.56
R00200,D015,2025-01-09 07:00:00,2.73,East,Residential,21.84
R00201,D040,2025-01-09 08:00:00,3.39,North,Commercial,27.12
R00202,D022,2025-01-09 09:00:00,4.71,North,Residential,37.68
R00203,D049,2025-01-09 10:00:00,0.57,North,Commercial,4.56
R00204,D009,2025-01-09 11:00:00,3.36,East,Commercial,26.88
R00205,D028,2025-01-09 12:00:00,1.01,South,Residential,8.08
R00206,D042,2025-01-09 13:00:00,4.7,South,Residential,37.6
R00207,D015,2025-01-09 14:00:00,0.85,West,Commercial,6.8
R00208,D043,2025-01-09 15:00:00,0.83,West,Commercial,6.64
R00209,D041,2025-01-09 16:00:00,1.71,South,Residential,13.68
R00210,D041,2025-01-09 17:00:00,2.22,East,Residential,17.76
R00211,D004,2025-01-09 18:00:00,2.58,West,Commercial,20.64
R00212,D007,2025-01-09 19:00:00,4.93,North,Residential,39.44
R00213,D040,2025-01-09 20:00:00,1.71,West,Commercial,13.68
R00214,D013,2025-01-09 21:00:00,3.88,South,Commercial,31.04
R00215,D007,2025-01-09 22:00:00,2.93,East,Commercial,23.44
R00216,D013,2025-01-09 23:00:00,3.25,West,Commercial,26.0
R00217,D041,2025-01-10 00:00:00,2.89,West,Commercial,23.12
R00218,D043,2025-01-10 01:00:00,1.67,East,Commercial,13.36
R00219,D017,2025-01-10 02:00:00,4.0,North,Residential,32.0
R00220,D029,2025-01-10 03:00:00,4.13,South,Residential,33.04
R00221,D016,2025-01-10 04:00:00,0.35,North,Commercial,2.8
R00222,D048,2025-01-10 05:00:00,3.1,West,Commercial,24.8
R00223,D033,2025-01-10 06:00:00,3.78,North,Residential,30.24
R00224,D026,2025-01-10 07:00:00,2.0,North,Commercial,16.0
R00225,D031,2025-01-10 08:00:00,0.64,North,Commercial,5.12
R00226,D016,2025-01-10 09:00:00,2.84,East,Commercial,22.72
R00227,D043,2025-01-10 10:00:00,0.23,South,Residential,1.84
R00228,D043,2025-01-10 11:00:00,1.2,South,Residential,9.6
R00229,D032,2025-01-10 12:00:00,2.41,East,Residential,19.28
R00230,D008,2025-01-10 13:00:00,1.77,West,Commercial,14.16
R00231,D017,2025-01-10 14:00:00,3.75,West,Commercial,30.0
R00232,D034,2025-01-10 15:00:00,0.78,West,Residential,6.24
R00233,D031,2025-01-10 16:00:00,0.23,West,Commercial,1.84
R00234,D034,2025-01-10 17:00:00,2.29,West,Residential,18.32
R00235,D044,2025-01-10 18:00:00,3.76,West,Commercial,30.08
R00236,D048,2025-01-10 19:00:00,4.74,North,Commercial,37.92
R00237,D011,2025-01-10 20:00:00,2.36,East,Residential,18.88
R00238,D034,2025-01-10 21:00:00,0.37,South,Residential,2.96
R00239,D014,2025-01-10 22:00:00,3.26,North,Residential,26.08
R00240,D036,2025-01-10 23:00:00,2.05,West,Commercial,16.4
R00241,D008,2025-01-11 00:00:00,1.17,West,Residential,9.36
R00242,D017,2025-01-11 01:00:00,1.96,West,Commercial,15.68
R00243,D022,2025-01-11 02:00:00,2.39,West,Residential,19.12
R00244,D025,2025-01-11 03:00:00,3.08,North,Residential,24.64
R00245,D031,2025-01-11 04:00:00,1.03,East,Residential,8.24
R00246,D009,2025-01-11 05:00:00,1.43,West,Residential,11.44
R00247,D046,2025-01-11 06:00:00,0.24,South,Commercial,1.92
R00248,D017,2025-01-11 07:00:00,4.9,East,Commercial,39.2
R00249,D015,2025-01-11 08:00:00,2.54,West,Commercial,20.32
R00250,D049,2025-01-11 09:00:00,4.26,South,Commercial,34.08
R00251,D043,2025-01-11 10:00:00,2.39,East,Residential,19.12
R00252,D042,2025-01-11 11:00:00,3.35,North,Residential,26.8
R00253,D038,2025-01-11 12:00:00,3.38,East,Residential,27.04
R00254,D024,2025-01-11 13:00:00,0.5,East,Commercial,4.0
R00255,D031,2025-01-11 14:00:00,2.5,West,Residential,20.0
R00256,D004,2025-01-11 15:00:00,1.61,South,Residential,12.88
R00257,D039,2025-01-11 16:00:00,4.25,South,Residential,34.0
R00258,D009,2025-01-11 17:00:00,0.76,North,Commercial,6.08
R00259,D039,2025-01-11 18:00:00,2.19,West,Commercial,17.52
R00260,D026,2025-01-11 19:00:00,4.6,South,Residential,36.8
R00261,D044,2025-01-11 20:00:00,2.91,North,Residential,23.28
R00262,D012,2025-01-11 21:00:00,4.32,East,Commercial,34.56
R00263,D019,2025-01-11 22:00:00,2.18,North,Residential,17.44
R00264,D050,2025-01-11 23:00:00,3.69,South,Commercial,29.52
R00265,D046,2025-01-12 00:00:00,4.78,South,Residential,38.24
R00266,D031,2025-01-12 01:00:00,4.45,North,Commercial,35.6
R00267,D011,2025-01-12 02:00:00,3.34,North,Residential,26.72
R00268,D013,2025-01-12 03:00:00,3.2,East,Residential,25.6
R00269,D011,2025-01-12 04:00:00,1.54,South,Commercial,12.32
R00270,D019,2025-01-12 05:00:00,0.11,North,Residential,0.88
R00271,D045,2025-01-12 06:00:00,4.71,West,Commercial,37.68
R00272,D045,2025-01-12 07:00:00,1.55,South,Commercial,12.4
R00273,D021,2025-01-12 08:00:00,3.59,East,Commercial,28.72
R00274,D037,2025-01-12 09:00:00,2.69,North,Commercial,21.52
R00275,D046,2025-01-12 10:00:00,2.56,North,Residential,20.48
R00276,D002,2025-01-12 11:00:00,1.92,East,Residential,15.36
R00277,D047,2025-01-12 12:00:00,0.61,East,Commercial,4.88
R00278,D006,2025-01-12 13:00:00,2.95,East,Commercial,23.6
R00279,D049,2025-01-12 14:00:00,3.25,East,Commercial,26.0
R00280,D044,2025-01-12 15:00:00,4.29,West,Residential,34.32
R00281,D031,2025-01-12 16:00:00,3.26,West,Residential,26.08
R00282,D020,2025-01-12 17:00:00,4.2,West,Residential,33.6
R00283,D023,2025-01-12 18:00:00,2.47,East,Commercial,19.76
R00284,D049,2025-01-12 19:00:00,0.28,West,Commercial,2.24
R00285,D009,2025-01-12 20:00:00,3.55,North,Residential,28.4
R00286,D025,2025-01-12 21:00:00,4.78,North,Residential,38.24
R00287,D019,2025-01-12 22:00:00,1.21,East,Residential,9.68
R00288,D001,2025-01-12 23:00:00,3.67,West,Commercial,29.36
R00289,D040,2025-01-13 00:00:00,0.14,South,Commercial,1.12
R00290,D013,2025-01-13 01:00:00,1.8,South,Residential,14.4
R00291,D043,2025-01-13 02:00:00,0.89,North,Residential,7.12
R00292,D035,2025-01-13 03:00:00,3.98,West,Commercial,31.84
R00293,D047,2025-01-13 04:00:00,1.17,West,Residential,9.36
R00294,D027,2025-01-13 05:00:00,2.48,North,Residential,19.84
R00295,D035,2025-01-13 06:00:00,1.13,North,Residential,9.04
R00296,D041,2025-01-13 07:00:00,4.27,East,Residential,34.16
R00297,D018,2025-01-13 08:00:00,3.01,East,Residential,24.08
R00298,D045,2025-01-13 09:00:00,2.81,West,Commercial,22.48
R00299,D035,2025-01-13 10:00:00,1.71,North,Residential,13.68
R00300,D049,2025-01-13 11:00:00,1.44,North,Commercial,11.52
R00301,D040,2025-01-13 12:00:00,4.65,North,Residential,37.2
R00302,D037,2025-01-13 13:00:00,4.13,East,Residential,33.04
R00303,D010,2025-01-13 14:00:00,1.21,South,Commercial,9.68
R00304,D045,2025-01-13 15:00:00,3.14,South,Commercial,25.12
R00305,D045,2025-01-13 16:00:00,4.37,South,Residential,34.96
R00306,D041,2025-01-13 17:00:00,3.97,West,Commercial,31.76
R00307,D004,2025-01-13 18:00:00,1.84,North,Residential,14.72
R00308,D001,2025-01-13 19:00:00,3.21,South,Commercial,25.68
R00309,D010,2025-01-13 20:00:00,4.94,East,Residential,39.52
R00310,D012,2025-01-13 21:00:00,3.67,East,Residential,29.36
R00311,D029,2025-01-13 22:00:00,2.5,East,Residential,20.0
R00312,D016,2025-01-13 23:00:00,2.53,South,Residential,20.24
R00313,D044,2025-01-14 00:00:00,4.59,North,Residential,36.72
R00314,D019,2025-01-14 01:00:00,1.91,West,Residential,15.28
R00315,D002,2025-01-14 02:00:00,2.77,South,Commercial,22.16
R00316,D020,2025-01-14 03:00:00,2.57,South,Commercial,20.56
R00317,D046,2025-01-14 04:00:00,2.42,South,Commercial,19.36
R00318,D029,2025-01-14 05:00:00,1.58,West,Commercial,12.64
R00319,D038,2025-01-14 06:00:00,4.04,South,Commercial,32.32
R00320,D018,2025-01-14 07:00:00,2.21,North,Residential,17.68
R00321,D005,2025-01-14 08:00:00,1.57,South,Residential,12.56
R00322,D040,2025-01-14 09:00:00,1.47,West,Commercial,11.76
R00323,D024,2025-01-14 10:00:00,4.4,East,Commercial,35.2
R00324,D029,2025-01-14 11:00:00,1.05,North,Residential,8.4
R00325,D011,2025-01-14 12:00:00,2.27,North,Residential,18.16
R00326,D005,2025-01-14 13:00:00,3.41,West,Residential,27.28
R00327,D010,2025-01-14 14:00:00,1.56,West,Commercial,12.48
R00328,D035,2025-01-14 15:00:00,3.8,West,Commercial,30.4
R00329,D016,2025-01-14 16:00:00,1.9,East,Residential,15.2
R00330,D027,2025-01-14 17:00:00,2.48,West,Commercial,19.84
R00331,D019,2025-01-14 18:00:00,0.62,North,Commercial,4.96
R00332,D032,2025-01-14 19:00:00,3.32,West,Residential,26.56
R00333,D042,2025-01-14 20:00:00,3.28,West,Commercial,26.24
R00334,D005,2025-01-14 21:00:00,1.45,East,Commercial,11.6
R00335,D049,2025-01-14 22:00:00,3.18,East,Commercial,25.44
R00336,D035,2025-01-14 23:00:00,0.24,West,Commercial,1.92
R00337,D046,2025-01-15 00:00:00,1.4,East,Residential,11.2
R00338,D012,2025-01-15 01:00:00,4.55,West,Residential,36.4
R00339,D009,2025-01-15 02:00:00,4.08,East,Residential,32.64
R00340,D040,2025-01-15 03:00:00,2.39,North,Commercial,19.12
R00341,D026,2025-01-15 04:00:00,1.39,North,Residential,11.12
R00342,D019,2025-01-15 05:00:00,2.87,East,Residential,22.96
R00343,D014,2025-01-15 06:00:00,1.01,North,Commercial,8.08
R00344,D046,2025-01-15 07:00:00,1.48,West,Residential,11.84
R00345,D043,2025-01-15 08:00:00,0.18,East,Residential,1.44
R00346,D014,2025-01-15 09:00:00,1.85,East,Commercial,14.8
R00347,D034,2025-01-15 10:00:00,3.16,North,Commercial,25.28
R00348,D026,2025-01-15 11:00:00,0.94,West,Commercial,7.52
R00349,D036,2025-01-15 12:00:00,4.6,West,Residential,36.8
R00350,D023,2025-01-15 13:00:00,0.67,South,Residential,5.36
R00351,D041,2025-01-15 14:00:00,0.4,North,Residential,3.2
R00352,D037,2025-01-15 15:00:00,2.65,East,Residential,21.2
R00353,D027,2025-01-15 16:00:00,3.01,West,Residential,24.08
R00354,D002,2025-01-15 17:00:00,0.78,East,Commercial,6.24
R00355,D034,2025-01-15 18:00:00,0.53,East,Residential,4.24
R00356,D015,2025-01-15 19:00:00,1.98,West,Commercial,15.84
R00357,D003,2025-01-15 20:00:00,0.35,North,Commercial,2.8
R00358,D012,2025-01-15 21:00:00,1.66,East,Commercial,13.28
R00359,D025,2025-01-15 22:00:00,2.45,North,Commercial,19.6
R00360,D007,2025-01-15 23:00:00,2.59,East,Residential,20.72
R00361,D040,2025-01-16 00:00:00,2.21,North,Residential,17.68
R00362,D010,2025-01-16 01:00:00,0.3,South,Residential,2.4
R00363,D043,2025-01-16 02:00:00,2.96,West,Residential,23.68
R00364,D008,2025-01-16 03:00:00,4.81,East,Commercial,38.48
R00365,D001,2025-01-16 04:00:00,2.57,East,Commercial,20.56
R00366,D027,2025-01-16 05:00:00,1.08,North,Residential,8.64
R00367,D026,2025-01-16 06:00:00,2.53,East,Residential,20.24
R00368,D038,2025-01-16 07:00:00,1.56,South,Commercial,12.48
R00369,D022,2025-01-16 08:00:00,3.72,East,Commercial,29.76
R00370,D019,2025-01-16 09:00:00,4.55,North,Residential,36.4
R00371,D032,2025-01-16 10:00:00,2.87,North,Commercial,22.96
R00372,D048,2025-01-16 11:00:00,4.15,South,Residential,33.2
R00373,D023,2025-01-16 12:00:00,1.25,East,Commercial,10.0
R00374,D044,2025-01-16 13:00:00,0.12,South,Commercial,0.96
R00375,D009,2025-01-16 14:00:00,1.65,North,Residential,13.2
R00376,D011,2025-01-16 15:00:00,3.29,West,Residential,26.32
R00377,D012,2025-01-16 16:00:00,1.67,South,Residential,13.36
R00378,D028,2025-01-16 17:00:00,4.81,North,Commercial,38.48
R00379,D039,2025-01-16 18:00:00,1.95,North,Commercial,15.6
R00380,D032,2025-01-16 19:00:00,4.39,West,Residential,35.12
R00381,D030,2025-01-16 20:00:00,2.55,South,Residential,20.4
R00382,D038,2025-01-16 21:00:00,3.64,South,Commercial,29.12
R00383,D032,2025-01-16 22:00:00,3.73,West,Commercial,29.84
R00384,D030,2025-01-16 23:00:00,0.22,East,Residential,1.76
R00385,D027,2025-01-17 00:00:00,2.28,West,Residential,18.24
R00386,D010,2025-01-17 01:00:00,4.67,South,Residential,37.36
R00387,D030,2025-01-17 02:00:00,4.48,North,Commercial,35.84
R00388,D007,2025-01-17 03:00:00,4.76,West,Commercial,38.08
R00389,D047,2025-01-17 04:00:00,3.63,West,Commercial,29.04
R00390,D036,2025-01-17 05:00:00,3.96,East,Residential,31.68
R00391,D046,2025-01-17 06:00:00,3.62,North,Commercial,28.96
R00392,D029,2025-01-17 07:00:00,0.77,West,Residential,6.16
R00393,D016,2025-01-17 08:00:00,2.53,South,Commercial,20.24
R00394,D001,2025-01-17 09:00:00,2.65,North,Commercial,21.2
R00395,D034,2025-01-17 10:00:00,1.31,North,Commercial,10.48
R00396,D004,2025-01-17 11:00:00,0.87,South,Commercial,6.96
R00397,D038,2025-01-17 12:00:00,0.78,North,Commercial,6.24
R00398,D040,2025-01-17 13:00:00,4.37,North,Commercial,34.96
R00399,D028,2025-01-17 14:00:00,3.62,West,Commercial,28.96
R00400,D040,2025-01-17 15:00:00,1.48,West,Residential,11.84
R00401,D016,2025-01-17 16:00:00,1.64,East,Residential,13.12
R00402,D039,2025-01-17 17:00:00,2.39,South,Commercial,19.12
R00403,D024,2025-01-17 18:00:00,1.93,East,Residential,15.44
